total_bill,tip,sex,smoker,day,time,size,name
50.97,3.03,Female,No,Sun,Dinner,2,amaya
31.02,4.98,Male,No,Sun,Dinner,3,nick
63.03,10.5,Male,No,Sun,Dinner,3,marcos
71.04,9.93,Male,No,Sun,Dinner,2,micheal
73.77,10.83,Female,No,Sun,Dinner,4,null
75.87,14.13,Male,No,Sun,Dinner,4,sara
26.31,6,Male,No,Sun,Dinner,2,dean
80.64,9.36,Male,No,Sun,Dinner,4,jemmy
45.12,5.88,Male,No,Sun,Dinner,2,null
44.34,9.69,Male,No,Sun,Dinner,2,null
30.81,5.13,Male,No,Sun,Dinner,2,null
105.78,15,Female,No,Sun,Dinner,4,null
46.26,4.71,Male,No,Sun,Dinner,2,amara
55.29,9,Male,No,Sun,Dinner,4,jayda
44.49,9.06,Female,No,Sun,Dinner,2,null
64.74,11.76,Male,No,Sun,Dinner,2,kem
30.99,5.01,Female,No,Sun,Dinner,3,null
48.87,11.13,Male,No,Sun,Dinner,3,null
50.91,10.5,Female,No,Sun,Dinner,3,sozy
61.95,10.05,Male,No,Sat,Dinner,3,murad
53.76,12.24,Male,No,Sat,Dinner,2,null
60.87,8.25,Female,No,Sat,Dinner,2,null
47.31,6.69,Female,No,Sat,Dinner,2,null
118.26,22.74,Male,No,Sat,Dinner,4,null
59.46,9.54,Male,No,Sat,Dinner,2,null
53.43,7.02,Male,No,Sat,Dinner,4,null
40.11,6,Male,No,Sat,Dinner,2,null
38.07,6,Male,No,Sat,Dinner,2,null
65.1,12.9,Male,No,Sat,null,2,null
58.95,9,Female,No,Sat,Dinner,2,null
28.65,4.35,Male,No,Sat,Dinner,2,null
55.05,7.5,Male,No,Sat,Dinner,4,null
45.18,9,Female,No,Sat,Dinner,2,null
62.07,7.35,Female,No,Sat,Dinner,4,null
53.34,9.81,Male,No,Sat,null,2,null
72.18,10.8,Male,No,Sat,Dinner,3,null
48.93,6,Male,No,Sat,Dinner,3,null
50.79,9.21,Female,No,Sat,Dinner,3,null
56.07,6.93,Male,No,Sat,Dinner,3,null
93.81,15,Male,No,Sat,Dinner,3,mahdi
48.12,6.72,Male,No,Sat,Dinner,3,null
52.38,7.62,Male,No,Sun,Dinner,2,null
41.82,9.18,Male,No,Sun,null,2,null
29.04,3.96,Male,No,Sun,Dinner,2,null
91.2,16.8,Male,No,Sun,Dinner,4,null
54.87,9,Male,No,Sun,Dinner,2,null
66.69,15,Male,No,Sun,Dinner,2,null
97.2,18,Male,No,Sun,Dinner,4,null
85.65,6.15,Male,No,Sun,Dinner,3,jurdy
54.12,9,Male,No,Sun,Dinner,2,null
37.62,7.5,Male,No,Sun,Dinner,2,null
30.87,7.8,Female,No,Sun,Dinner,2,null
104.43,15.6,Female,No,Sun,Dinner,4,null
29.82,4.68,Male,No,Sun,Dinner,2,null
76.68,13.02,Male,No,Sun,Dinner,4,null
58.47,10.53,Male,No,Sun,Dinner,2,null
114.03,9,Male,Yes,Sat,Dinner,4,null
79.23,4.5,Female,No,Sat,Dinner,2,null
33.72,5.28,Male,Yes,Sat,Dinner,2,null
144.81,20.19,Male,No,Sat,null,4,malek
60.87,9.63,Male,Yes,Sat,Dinner,2,nick
41.43,6,Male,Yes,Sat,Dinner,2,carla
33.06,5.94,Male,Yes,Sat,Dinner,2,null
54.87,11.28,Male,Yes,Sat,Dinner,4,muhammed
52.77,7.92,Male,No,Sat,Dinner,3,sebra
60.24,9.45,Male,No,Sat,Dinner,3,null
49.35,7.41,Female,No,Sat,Dinner,2,null
9.21,3,Female,Yes,Sat,Dinner,1,null
60.69,6.03,Male,No,Sat,Dinner,2,null
45.03,6.27,Male,Yes,Sat,Dinner,2,null
36.06,5.91,Male,No,Sat,Dinner,2,null
51.21,9,Female,No,Sat,Dinner,3,null
80.58,9.42,Female,Yes,Sat,Dinner,2,null
75.84,15,Female,Yes,Sat,Dinner,2,null
44.19,6.6,Female,No,Sat,Dinner,2,null
31.53,3.75,Male,No,Sat,Dinner,2,null
53.76,9.24,Male,Yes,Sat,Dinner,2,null
81.6,12,Male,No,Thur,Lunch,4,null
68.28,9,Male,No,Thur,Lunch,2,null
51.87,8.13,Male,No,Thur,Lunch,2,null
58.32,9,Male,Yes,Thur,Lunch,2,null
49.98,10.2,Male,No,Thur,Lunch,2,null
30.21,5.49,Female,No,Thur,Lunch,1,null
98.04,15,Male,Yes,Thur,null,2,null
47.94,6.09,Male,No,Thur,Lunch,2,null
104.49,15.51,Female,No,Thur,Lunch,4,null
39.09,6,Male,No,Thur,Lunch,2,null
54.84,12,Male,No,Thur,Lunch,2,null
74.13,17.55,Male,No,Thur,Lunch,2,null
63.48,9,Male,No,Thur,Lunch,2,null
86.91,9,Male,Yes,Fri,Dinner,2,null
67.47,10.5,Male,No,Fri,Dinner,2,null
17.25,3,Female,Yes,Fri,Dinner,2,null
48.96,12.9,Female,Yes,Fri,Dinner,2,null
68.25,9.75,Female,No,Fri,Dinner,2,null
120.51,14.19,Male,Yes,Fri,Dinner,4,null
81.84,12,Male,Yes,Fri,Dinner,2,null
36.09,4.5,Male,Yes,Fri,Dinner,2,null
63.03,9,Male,Yes,Fri,null,2,null
37.38,4.5,Male,No,Fri,Dinner,2,null
34.05,7.5,Female,Yes,Fri,Dinner,2,null
46.14,9,Female,Yes,Fri,Dinner,2,null
132.9,7.5,Female,Yes,Sat,Dinner,3,null
67.26,10.44,Female,Yes,Sat,Dinner,2,null
62.76,12.24,Female,No,Sat,Dinner,2,null
46.08,4.92,Male,Yes,Sat,Dinner,2,null
61.47,12.18,Male,Yes,Sat,Dinner,2,null
75.63,12.87,Male,Yes,Sat,Dinner,2,null
54.72,11.28,Male,No,Sat,Dinner,2,null
42.93,12,Female,Yes,Sat,Dinner,2,null
42,9,Male,No,Sat,null,2,null
21.75,3,Female,No,Sat,null,1,null
114.21,12,Male,No,Sun,null,3,null
71.85,7.65,Male,No,Sun,null,2,null
77.13,12,Female,No,Sun,Dinner,3,null
51.93,10.5,Female,No,Sun,Dinner,2,null
89.79,15.21,Male,No,Sun,Dinner,4,null
31.95,4.5,Female,No,Thur,Lunch,2,null
37.29,5.4,Female,No,Thur,Lunch,2,null
72.24,8.76,Female,No,Thur,Lunch,4,null
35.07,6.93,Male,No,Thur,Lunch,2,null
40.26,5.04,Female,No,Thur,Lunch,2,null
42.78,7.5,Male,No,Thur,Lunch,2,null
47.85,6,Male,No,Thur,Lunch,2,null
37.44,7.56,Female,No,Thur,Lunch,2,null
89.4,12.6,Female,No,Thur,Lunch,6,null
25.56,4.44,Male,No,Thur,Lunch,2,null
43.56,6,Female,No,Thur,Lunch,2,null
34.14,6,Female,No,Thur,Lunch,2,null
68.46,6.54,Male,No,Thur,Lunch,3,null
57.24,4.5,Male,No,Thur,Lunch,2,null
60.81,8.49,Female,No,Thur,Lunch,2,null
33.51,4.5,Female,No,Thur,Lunch,2,null
36.78,6,Female,No,Thur,Lunch,2,null
54.78,9.75,Female,No,Thur,Lunch,2,null
25.53,3.75,Female,No,Thur,Lunch,2,null
30.99,6,Female,No,Thur,Lunch,2,null
42.45,6,Female,No,Thur,Lunch,2,null
48,6,Male,Yes,Thur,Lunch,2,null
39.48,8.25,Female,No,Thur,Lunch,2,null
52.41,10.5,Female,No,Thur,Lunch,2,null
102.9,20.1,Male,No,Thur,Lunch,6,null
123.57,15,Male,No,Thur,Lunch,5,null
81.15,15,Female,No,Thur,Lunch,6,null
49.29,6.9,Female,No,Thur,Lunch,2,null
25.05,4.5,Female,No,Thur,Lunch,2,null
55.92,4.08,Female,No,Thur,null,3,null
35.61,4.89,Female,No,Thur,null,2,null
29.34,5.19,Male,No,Thur,null,2,null
22.53,6,Male,No,Thur,null,2,null
42.21,7.5,Male,No,Sun,Dinner,2,null
39.39,6,Male,No,Sun,Dinner,2,null
51.78,8.22,Male,No,Sun,Dinner,3,null
73.65,6,Male,No,Sun,Dinner,4,null
59.31,6,Male,No,Sun,Dinner,4,null
89.55,15.42,Female,No,Sun,Dinner,5,null
144.51,15,Male,No,Sun,Dinner,6,null
75,11.25,Female,No,Sun,Dinner,4,null
40.17,7.83,Female,No,Sun,Dinner,2,null
49.47,6,Male,No,Sun,Dinner,4,null
64.5,10.5,Male,No,Sun,Dinner,4,null
37.98,7.5,Male,No,Sun,Dinner,2,null
48.63,6,Female,No,Sun,Dinner,3,null
41.43,6,Male,No,Sun,Dinner,2,null
52.53,9,Female,Yes,Sun,Dinner,2,null
73.56,10.44,Male,No,Sun,Dinner,3,null
62.28,6.72,Male,No,Sun,Dinner,2,null
95.13,13.5,Male,No,Sun,Dinner,4,null
31.77,4.83,Female,Yes,Sat,Dinner,2,null
31.89,6,Female,Yes,Sat,Dinner,2,null
152.43,30,Male,Yes,Sat,Dinner,3,null
47.43,9.48,Male,Yes,Sat,Dinner,2,null
21.75,15.45,Male,Yes,Sun,Dinner,2,null
95.55,9.54,Male,Yes,Sun,Dinner,2,null
50.46,12,Male,Yes,Sun,Dinner,2,null
98.7,9.33,Male,Yes,Sun,Dinner,2,null
53.67,6,Male,Yes,Sun,null,2,null
43.44,6,Male,Yes,Sun,null,2,Robert
28.8,12,Female,Yes,Sun,Dinner,2,John
103.89,10.65,Male,Yes,Sun,Dinner,2,Michael
103.95,11.04,Male,Yes,Sun,Dinner,4,William
69.99,16.95,Male,Yes,Sun,Dinner,2,David
136.05,10.5,Male,Yes,Sun,Dinner,3,Richard
69.51,19.5,Male,Yes,Sun,Dinner,4,Joseph
121.65,9,Male,Yes,Sun,Dinner,2,Thomas
62.07,15,Male,No,Sun,Dinner,5,Charles
62.7,10.5,Female,Yes,Sun,Dinner,3,Christopher
91.38,6,Male,Yes,Sun,Dinner,5,Daniel
54.45,10.5,Female,Yes,Sun,Dinner,3,Matthew
69.3,12,Male,Yes,Sun,Dinner,3,Anthony
47.07,4.5,Male,Yes,Sun,Dinner,2,Mark
59.43,12.57,Female,Yes,Thur,Lunch,2,Donald
85.32,7.68,Male,Yes,Thur,Lunch,2,Steven
46.44,6.06,Male,Yes,Thur,Lunch,2,Paul
49.74,12,Male,Yes,Thur,Lunch,2,Andrew
22.68,4.32,Male,No,Thur,Lunch,2,Joshua
31.02,6,Male,Yes,Thur,Lunch,2,Kenneth
129.33,15,Female,Yes,Thur,Lunch,4,Kevin
39,6,Female,Yes,Thur,Lunch,2,Brian
40.53,6,Male,Yes,Thur,Lunch,2,George
56.13,12,Male,Yes,Thur,Lunch,3,Edward
38.22,6.03,Female,Yes,Thur,Lunch,2,Ronald
39,6,Female,Yes,Thur,Lunch,2,Timothy
49.2,7.5,Female,Yes,Thur,Lunch,2,Jason
61.59,12,Male,Yes,Thur,null,4,Jeffrey
49.41,9.69,Female,Yes,Thur,null,3,Ryan
79.77,10.23,Male,Yes,Sat,null,3,Jacob
116.19,9,Male,Yes,Sat,Dinner,4,Gary
72.81,6.09,Male,Yes,Sat,Dinner,2,Nicholas
38.28,6.69,Female,Yes,Sat,Dinner,2,Eric
90.18,6,Male,Yes,Sat,Dinner,3,Jonathan
77.67,15.48,Male,Yes,Sat,Dinner,4,Stephen
144.99,27,Male,No,Sat,Dinner,4,Larry
39.81,7.5,Female,Yes,Sat,Dinner,2,Justin
84.51,19.5,Female,Yes,Sat,Dinner,3,null
38.7,3.3,Female,Yes,Sat,Dinner,2,null
84.45,9,Male,Yes,Sat,Dinner,5,null
34.77,4.5,Male,Yes,Sat,Dinner,2,null
23.22,4.32,Male,Yes,Sat,Dinner,2,null
90.42,9.27,Female,Yes,Sat,null,4,null
36.48,6.6,Male,Yes,Fri,null,2,null
40.26,10.44,Female,Yes,Fri,null,2,null
25.74,5.76,Male,Yes,Fri,null,1,null
47.94,9,Female,No,Fri,Lunch,3,Harold
40.26,4.74,Male,Yes,Fri,Lunch,2,Keith
48.81,7.5,Female,Yes,Fri,Lunch,2,Christian
30.27,6,Female,Yes,Fri,Lunch,2,Roger
61.35,9,Male,No,Sat,Dinner,4,Noah
39.84,8.16,Male,No,Sat,Dinner,2,Gerald
66.36,8.64,Female,Yes,Sat,Dinner,2,Carl
72.03,6,Male,Yes,Sat,Dinner,4,Terry
47.07,9,Male,Yes,Sat,Dinner,3,Sean
34.83,10.17,Male,No,Sat,Dinner,2,Austin
32.31,4.41,Male,No,Sat,Dinner,2,Arthur
46.59,9,Male,Yes,Sat,Dinner,2,Lawrence
30.21,3.75,Male,No,Sat,Dinner,2,Jesse
37.8,3,Male,Yes,Sat,Dinner,2,Dylan
98.49,3.51,Male,Yes,Sat,Dinner,2,null
107.49,14.01,Female,No,Sat,Dinner,3,null
87.09,17.76,Male,No,Sat,Dinner,3,null
81.54,6,Female,Yes,Sat,Dinner,2,null
68.01,6,Male,Yes,Sat,Dinner,2,null
53.46,5.25,Male,No,Sat,Dinner,2,null
56.34,9,Female,No,Thur,Dinner,2,null
